secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
154,2026-09-08T04:05:06.452Z,2026-09-08T04:05:06.464Z,1,A,11.643,200,7.701,E0,
155,2026-09-08T04:05:06.502Z,2026-09-08T04:05:06.514Z,1,C,11.133,200,7.751,E0,
156,2026-09-08T04:05:06.553Z,2026-09-08T04:05:06.562Z,1,B,9.447,200,7.801,E0,
157,2026-09-08T04:05:06.603Z,2026-09-08T04:05:06.611Z,1,B,8.457,200,7.851,E0,
158,2026-09-08T04:05:06.653Z,2026-09-08T04:05:06.668Z,1,B,15.660,200,7.901,E0,
159,2026-09-08T04:05:06.703Z,2026-09-08T04:05:06.715Z,1,B,12.576,200,7.951,E0,
160,2026-09-08T04:05:06.753Z,2026-09-08T04:05:06.774Z,1,A,21.726,200,8.001,E0,
161,2026-09-08T04:05:06.803Z,2026-09-08T04:05:06.809Z,1,C,6.338,200,8.051,E0,
162,2026-09-08T04:05:06.853Z,2026-09-08T04:05:06.861Z,1,C,7.839,200,8.101,E0,
163,2026-09-08T04:05:06.902Z,2026-09-08T04:05:06.906Z,1,C,4.316,200,8.150,E0,
164,2026-09-08T04:05:06.953Z,2026-09-08T04:05:06.965Z,1,B,11.912,200,8.201,E0,
165,2026-09-08T04:05:07.002Z,2026-09-08T04:05:07.028Z,1,B,25.120,200,8.251,E0,
166,2026-09-08T04:05:07.052Z,2026-09-08T04:05:07.062Z,1,B,9.402,200,8.301,E0,
167,2026-09-08T04:05:07.103Z,2026-09-08T04:05:07.123Z,1,B,20.634,200,8.351,E0,
168,2026-09-08T04:05:07.153Z,2026-09-08T04:05:07.162Z,1,A,9.563,200,8.401,E0,
169,2026-09-08T04:05:07.203Z,2026-09-08T04:05:07.214Z,1,A,10.994,200,8.452,E0,
170,2026-09-08T04:05:07.253Z,2026-09-08T04:05:07.268Z,1,C,15.695,200,8.501,E0,
171,2026-09-08T04:05:07.302Z,2026-09-08T04:05:07.313Z,1,C,11.203,200,8.550,E0,
172,2026-09-08T04:05:07.353Z,2026-09-08T04:05:07.372Z,1,C,18.473,200,8.602,E0,
173,2026-09-08T04:05:07.402Z,2026-09-08T04:05:07.412Z,1,C,9.318,200,8.651,E0,
174,2026-09-08T04:05:07.453Z,2026-09-08T04:05:07.467Z,1,A,13.805,200,8.701,E0,
175,2026-09-08T04:05:07.504Z,2026-09-08T04:05:07.521Z,1,C,17.110,200,8.752,E0,
176,2026-09-08T04:05:07.552Z,2026-09-08T04:05:07.571Z,1,A,19.546,200,8.800,E0,
177,2026-09-08T04:05:07.602Z,2026-09-08T04:05:07.611Z,1,B,9.397,200,8.850,E0,
178,2026-09-08T04:05:07.652Z,2026-09-08T04:05:07.663Z,1,C,10.271,200,8.901,E0,
179,2026-09-08T04:05:07.703Z,2026-09-08T04:05:07.713Z,1,C,10.208,200,8.951,E0,
