secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
134,2026-09-08T04:05:54.450Z,2026-09-08T04:05:54.457Z,1,C,7.109,200,6.701,E1,
135,2026-09-08T04:05:54.500Z,2026-09-08T04:05:54.505Z,1,B,5.126,200,6.751,E1,
136,2026-09-08T04:05:54.550Z,2026-09-08T04:05:54.563Z,1,C,13.961,200,6.801,E1,
137,2026-09-08T04:05:54.600Z,2026-09-08T04:05:54.605Z,1,A,5.393,200,6.851,E1,
138,2026-09-08T04:05:54.650Z,2026-09-08T04:05:54.668Z,1,B,18.346,200,6.901,E1,
139,2026-09-08T04:05:54.699Z,2026-09-08T04:05:54.704Z,1,C,5.103,200,6.950,E1,
140,2026-09-08T04:05:54.750Z,2026-09-08T04:05:54.760Z,1,C,10.465,200,7.001,E1,
141,2026-09-08T04:05:54.799Z,2026-09-08T04:05:54.817Z,1,C,17.522,200,7.050,E1,
142,2026-09-08T04:05:54.849Z,2026-09-08T04:05:54.860Z,1,A,11.245,200,7.100,E1,
143,2026-09-08T04:05:54.900Z,2026-09-08T04:05:54.920Z,1,B,20.318,200,7.151,E1,
144,2026-09-08T04:05:54.949Z,2026-09-08T04:05:54.957Z,1,C,7.466,200,7.200,E1,
145,2026-09-08T04:05:55.000Z,2026-09-08T04:05:55.005Z,1,B,4.839,200,7.251,E1,
146,2026-09-08T04:05:55.050Z,2026-09-08T04:05:55.060Z,1,A,10.216,200,7.301,E1,
147,2026-09-08T04:05:55.100Z,2026-09-08T04:05:55.112Z,1,B,12.486,200,7.351,E1,
148,2026-09-08T04:05:55.150Z,2026-09-08T04:05:55.160Z,1,B,10.647,200,7.401,E1,
149,2026-09-08T04:05:55.200Z,2026-09-08T04:05:55.212Z,1,C,12.150,200,7.451,E1,
150,2026-09-08T04:05:55.250Z,2026-09-08T04:05:55.256Z,1,C,6.160,200,7.501,E1,
151,2026-09-08T04:05:55.300Z,2026-09-08T04:05:55.309Z,1,B,9.137,200,7.551,E1,
